id,species,genotype,site,subsystem,tank,rack,qty,size
3cfba284-861d-4958-90f0-c17c36b0ad14,AC,AC2607,Mote Looe Key [In Situ],,AC-2607,R191,6,0
531949e6-e9d8-4c28-9e68-3be6274bc4ec,AC,AC2633,Mote Looe Key [In Situ],,AC-2633,R213,6,0
44a2af43-3e3d-4c3a-8798-315460094966,AC,AC91,Mote Looe Key [In Situ],,AC-91,R414,6,0
59f6b083-1c60-476c-98a1-f29a86467075,AC,AC2938,Mote Looe Key [In Situ],,AC-2938,R507,5,0
8e8749bd-08d8-4633-abda-d77f798c8c6b,AP,AP38,Mote Looe Key [In Situ],,CU-TR5,R554,5,0
f7e57882-5467-484e-9619-dd583b3cfc52,AC,AC58,Mote Looe Key [In Situ],,Spawning,R624,5,0
6e28f657-b6a7-428d-b09c-52d77f625248,AC,AC62,Mote Looe Key [In Situ],,Spawning,R625,5,0
cc4d54c9-b89f-46fe-a80e-bd18bf6fbfe8,AC,AC50,Mote Looe Key [In Situ],,Spawning,R649,5,0
4b7b762d-5c95-4f29-b29b-ea55339c211f,AC,AC1287,Mote Sand Key [In Situ],,Multi-Recruit,R4,5,0
611a8bff-392d-4916-947c-5b53c315c7d8,AC,AC2626,Mote Looe Key [In Situ],,AC-2626,R236,5,0
1d6ef4a2-5376-474d-9897-e7b621c0754d,AC,AC55,Mote Looe Key [In Situ],,SNP-2,R450,5,0
50744652-4eb9-4134-8a3e-0b16964f3181,AC,AC56,Mote Looe Key [In Situ],,SNP-2,R450,5,0
ef8dbe9f-ee6e-4b67-b4ea-e2db4444840d,AC,AC4,Mote Looe Key [In Situ],,SNP-1,R451,5,0
09740605-f575-49e1-a4bb-7d8e2b973ab9,AC,AC8,Mote Looe Key [In Situ],,AC-8,R303,5,0
4dfbe3aa-e211-4c02-83de-c5b1574ab1cf,AC,AC58,Mote Looe Key [In Situ],,SNP-2,R450,5,0
9aadc6dd-8ee5-484d-bd14-6929a06f5ff0,AC,AC70,Mote Looe Key [In Situ],,SNP-2,R450,5,0
7d361838-12d4-4f32-9582-957dc3e68623,AC,AC76,Mote Looe Key [In Situ],,SNP-2,R450,5,0
7b4cb4c7-5036-4f63-89dd-a00e52a6c14d,AC,AC88,Mote Looe Key [In Situ],,SNP-2,R450,5,0
adbc3ee6-bd8e-4cb7-986d-db0229225967,AC,AC90,Mote Looe Key [In Situ],,SNP-2,R450,5,0
72d3b6f9-0b12-40c9-8c42-a86737b592c7,AC,AC8,Mote Looe Key [In Situ],,SNP-1,R451,5,0
c9838a0d-dfdc-402f-bf3a-dec1ad6459dc,AC,AC31,Mote Looe Key [In Situ],,SNP-1,R451,5,0
70650ee3-26cb-463f-aac6-0705c83283c1,AC,AC34,Mote Looe Key [In Situ],,SNP-1,R451,5,0
2111e6cd-7c50-4077-888a-b70f9dfc9ca4,AC,AC925,Mote Looe Key [In Situ],,AC-925,R485,5,0
c1e7643e-a9ea-4ec5-b26a-8701db8e9a7d,AC,AC92,Mote Sand Key [In Situ],,92,R3,5,0
c7b4b7b3-c3fd-4060-a5da-4ff4a88f10ad,AC,AC31,Mote Key Largo [In Situ],,Blue98,R125,5,0
dc0087a9-dcc8-4a8a-8991-1657cf9d67a6,AC,AC34,Mote Key Largo [In Situ],,Blue98,R125,5,0
ace62514-063f-478f-9a28-fee8279fc551,AC,AC6,Mote Key Largo [In Situ],,Blue98,R125,5,0
9f3889c8-775c-4cdb-b0a6-605dbac2276f,AC,AC8,Mote Key Largo [In Situ],,Blue98,R125,5,0
e7f0a314-e1a9-4e6c-b69c-15b859679d53,AC,AC55,Mote Key Largo [In Situ],,Blue88,R126,5,0
f851fa10-5d29-4f1c-aa3d-f72b496b8047,AC,AC57,Mote Key Largo [In Situ],,Blue88,R126,5,0
9b64d5b4-c893-4520-8a74-004d4af54169,AC,AC70,Mote Key Largo [In Situ],,Blue88,R126,5,0
bcdf33a0-aac3-484a-a23f-e33e1d5675e2,AC,AC76,Mote Key Largo [In Situ],,Blue88,R126,5,0
31792ce6-8356-4371-9881-cb5062d8c74f,AC,AC89,Mote Key Largo [In Situ],,Blue78,R127,5,0
4fadb439-8404-4e74-87b5-27c0964c9d1f,AC,AC58,Mote Key Largo [In Situ],,Purple09,R141,5,0
d8bedf98-f140-45ee-82c1-31ef84778759,AC,AC47,Mote Key Largo [In Situ],,Purple07,R140,5,0
7b8d6af9-668e-40de-bc05-6d11521bc099,AC,AC62,Mote Key Largo [In Situ],,Blue99,R138,5,0
f29964f3-f06f-468e-a108-5d0fcfa67e85,AC,AC13,Mote Key Largo [In Situ],,Purple05,R82,5,0
7c831a01-0dea-4253-ae09-52d4aa8f6690,AC,AC31,Mote Key Largo [In Situ],,Purple06,R101,5,0
fbb732b4-a517-424e-993c-c87a8e8d5efe,AC,AC2923,Mote Looe Key [In Situ],,AC-2923,R511,4,0
06d07d40-cdcb-4eeb-b089-6e6fb13176fe,AC,AC78,Mote Looe Key [In Situ],,AC-78,R378,4,0
d30113c2-c4f3-4227-9cc7-cfa0aa2f407b,AP,AP1,Mote Looe Key [In Situ],,LK-5,R556,4,0
16bea00b-86b9-463a-898b-6812f05f3755,AP,AP146,Mote Looe Key [In Situ],,Spawning,R628,4,0
05588b92-593f-469f-9c7d-75a192ffaa41,AC,AC6,Mote Looe Key [In Situ],,SNP-1,R451,4,0
13acb5a3-7e12-4f9d-83df-5c00cae84b2e,AC,AC84,Mote Looe Key [In Situ],,SNP-2,R450,4,0
b94ca473-6cef-42d6-9cd7-126e14d26024,AC,AC3,Mote Looe Key [In Situ],,SNP-1,R451,4,0
ddf09f7f-d6cb-4b99-8b04-3c98a18607fb,AC,AC20,Mote Sand Key [In Situ],,Multi,R12,4,0
c9d9cb2f-1979-4dc4-b006-6b57c85eaf9d,AC,AC2578,Mote Sand Key [In Situ],,Multi,R5,4,0
839e61b2-e735-4d07-b2f5-3966a7ec793a,AC,AC56,Mote Key Largo [In Situ],,Blue88,R126,4,0
a4531938-1d5f-4b28-a527-df9b4c0e826a,AC,AC7,Mote Key Largo [In Situ],,Purple04,R14,4,0
9b2eecfa-0c95-4e4a-8ebc-2e0aa42d1972,AC,AC1,Mote Key Largo [In Situ],,Purple01,R59,4,0
9b6e6726-bddb-48e7-92d5-a2e1293ea94f,AC,AC50,Mote Key Largo [In Situ],,Purple08,R139,3,0
eff9ea44-6215-40e0-8c7e-bbfccb0bccd6,AP,AP147,Mote Looe Key [In Situ],,CU-TR5,R554,3,0
566ee458-c2aa-42fb-bb8e-8e2e46d37567,AP,AP0,Mote Looe Key [In Situ],,AP UNK2,R557,3,0
97aac400-dcfe-4125-b40b-2bf70ce8d692,AC,AC47,Mote Looe Key [In Situ],,Spawning,R650,3,0
635f1f5f-098e-41ac-b700-16c8970faa91,AC,AC47,Mote Looe Key [In Situ],,SNP-1,R451,3,0
32c628eb-98b3-4970-b411-8ef49d3d0d0b,AC,AC925,Mote Looe Key [In Situ],,AC-925,R485,3,0
35c2d689-7ecd-401e-a40c-d7a9e660ff29,AC,AC54,Mote Sand Key [In Situ],,Multi,R12,3,0
40321a4c-d547-48ba-9c1d-9e44739a0a5f,AC,AC2582,Mote Sand Key [In Situ],,Multi,R5,3,0
eef3bdfb-efa5-43d3-94a3-46999d587d2d,AC,AC2572,Mote Sand Key [In Situ],,Multi,R5,3,0
cb89c69a-f2dd-4e76-a4e1-f0b20a2b9ac5,AC,AC5,Mote Sand Key [In Situ],,Multi,R12,3,0
17a54f2e-8b5e-4d12-afda-b579f9667bb0,AC,AC55,Mote Sand Key [In Situ],,Multi,R6,3,0
fc7a1c38-0cb0-4092-ac22-25bd69909045,AC,AC2601,Mote Looe Key [In Situ],,AC-2601,R193,2,0
76d6d215-a64a-43f7-be5a-37ee3f92d680,AC,AC2937,Mote Looe Key [In Situ],,AC-2937,R508,2,0
09ccd4d1-2a70-4558-a124-8d9f9c9141da,AC,AC2572,Mote Looe Key [In Situ],,AC-2572,R141,2,0
21a58c58-173b-4dda-b413-d230f95e35c3,AP,AP145,Mote Looe Key [In Situ],,CU-TR5,R554,2,0
e6ddd7e2-6bcb-4edf-8b90-498a4279063f,AP,AP48,Mote Looe Key [In Situ],,LK-5,R556,2,0
bb862dec-45f6-44c8-9f93-c71710970e61,AC,AC3,Mote Looe Key [In Situ],,Spawning,R653,2,0
0dbe93f0-edf2-4eb9-994b-7673ec34c875,AC,AC2632,Mote Looe Key [In Situ],,AC-2632,R232,2,0
310a407b-d316-4303-8189-fec2fd8e7177,AC,AC2628,Mote Looe Key [In Situ],,AC-2628,R234,2,0
65fe9f5b-f7b9-4457-9b06-cc1a66638fad,AC,AC96,Mote Looe Key [In Situ],,AC-96,R411,2,0
de8a6aab-01ca-4176-ad59-61a6af9ab916,AC,AC51,Mote Looe Key [In Situ],,SNP-1,R451,2,0
c5102ea1-84d7-4489-bdcc-9b37f48b86c2,AC,AC2571,Mote Sand Key [In Situ],,Multi,R5,2,0
a94420bc-8f75-4687-af06-6b40f59ec2b6,AC,AC2927,Mote Key Largo [In Situ],,Blue55,R92,2,0
87c015c9-636b-4407-ae86-c8ff3a170074,AC,AC2929,Mote Key Largo [In Situ],,Blue55,R92,2,0
8892af48-899d-4690-abb6-7489f6f69b8c,AC,AC2933,Mote Key Largo [In Situ],,Blue55,R92,2,0
9c2d6386-7847-4e48-8f47-76ff7af9a3d2,AC,AC2937,Mote Key Largo [In Situ],,Blue55,R92,2,0
3482355b-5d36-4169-a906-75324f0bd33d,AC,AC0,Mote Looe Key [In Situ],,SNP-2,R450,2,0
8fd6066d-a55a-4469-89e7-5d7c9d0585f0,AC,AC13,Mote Looe Key [In Situ],,SNP-1,R451,2,0
faa978e9-f940-427e-8098-2244f19ffdb8,AC,AC4,Mote Key Largo [In Situ],,Blue98,R125,2,0
e11bac51-ca5e-42c9-a9d6-84031cd723bb,AC,AC3,Mote Key Largo [In Situ],,Purple02,R78,2,0
5887badc-de57-4f7b-8dec-45edf0b852ec,AC,AC13,Mote Sand Key [In Situ],,Multi,R12,1,0
f639efcf-c1cb-4687-a249-5fe69255444f,AC,AC29,Mote Looe Key [In Situ],,AC-29,R299,1,0
b4ba0a33-981e-424b-86e6-ffd264461a1f,AC,AC88,Mote Looe Key [In Situ],,AC-88,R374,1,0
b1554785-f317-4195-a43e-6c2d87a86b85,AP,AP146,Mote Looe Key [In Situ],,CU-TR5,R554,1,0
3cd65e97-0807-4777-9491-c7f1d4ffb614,AP,AP46,Mote Looe Key [In Situ],,LK-5,R556,1,0
d34ba119-1b85-4aba-b0d0-f04d66c77200,AP,AP20,Mote Looe Key [In Situ],,Spawning,R626,1,0
2f840c5d-5188-47d8-896b-171818248d6a,AP,AP24,Mote Looe Key [In Situ],,Spawning,R626,1,0
33408ecc-ce42-4cab-a9a1-c51e5b125c89,AP,AP35,Mote Looe Key [In Situ],,Spawning,R626,1,0
9f3d236d-2eab-494f-b66c-75c38c2767f0,AP,AP38,Mote Looe Key [In Situ],,Spawning,R626,1,0
3d47f59a-9e17-4197-90b2-16c8981cdb98,AP,AP46,Mote Looe Key [In Situ],,Spawning,R626,1,0
ce8c7814-b6e4-4a4d-8bc1-c89a0fd9f128,AP,AP48,Mote Looe Key [In Situ],,Spawning,R627,1,0
89cc2f30-af65-474c-8f0d-f1a4a19d2cce,AP,AP145,Mote Looe Key [In Situ],,Spawning,R628,1,0
337ef652-708b-4019-86ef-43869cf6ebca,AP,AP147,Mote Looe Key [In Situ],,Spawning,R629,1,0
e13db167-0d7d-4f72-933b-4e4e37f9d0b4,AP,AP364,Mote Looe Key [In Situ],,X,R630,1,0
ae84ee73-595a-4591-9c7a-6d887546b585,AC,AC1962,Mote Sand Key [In Situ],,Multi-Recruit,R4,1,0
97c50a9c-6722-4654-a469-e200f534d9f4,AC,AC2931,Mote Key Largo [In Situ],,Blue55,R92,1,0
0e15cd83-4aea-4282-9212-6ebea1715187,AC,AC2935,Mote Key Largo [In Situ],,Blue55,R92,1,0
f03132f9-1d9d-421a-964c-282cf6591799,AC,AC2936,Mote Key Largo [In Situ],,Blue55,R92,1,0
1ef447e9-5cdb-497a-bf95-4fd36de821ae,AC,AC5,Mote Sand Key [In Situ],,Multi,R12,1,0
b7a3d098-bce8-49be-84de-67f4ba1050ab,AC,AC2533,Mote Sand Key [In Situ],,Multi,R5,1,0
fad69729-6ec9-4bf7-8f7c-8e39cc12b252,AC,AC3,Mote Key Largo [In Situ],,Blue98,R125,1,0
ec999a8f-83a6-4a9e-9412-1ae001b628b5,OF,OF932,Mote Key Largo [In Situ],,Blue91,R142,1,0
90ce6daa-8000-4474-83a7-f533a30da89d,CN,CN7,Mote Looe Key [In Situ],,CN-7/31,R363,-10,0
7021faac-faf6-410b-b60e-f1dedd70d17e,AC,AC1962,Mote Looe Key [In Situ],,AC-1962,R483,-20,0
abba80bd-ddad-4a78-a2a1-86af79a7e82d,AC,AC2627,Mote Looe Key [In Situ],,AC-2627,R207,-20,0
400de719-869c-42c7-91bb-0b1498cbec84,AC,AC2627,Mote Looe Key [In Situ],,AC-2627,R207,-20,0
3508eb1a-3a1b-4c0a-8c21-76e210a000b5,AC,AC34,Mote Looe Key [In Situ],,AC-34,R333,-20,0
c3f3ea0e-ed50-4ccd-80bd-b42af059f6b1,AC,AC58,Mote Looe Key [In Situ],,AC-58,R385,-20,0
e9cbd820-53a6-4bf2-b817-8149a4ea880e,AC,AC31,Mote Looe Key [In Situ],,AC-31,R271,-20,0
639c2908-5ca0-4f67-98bd-0b54e102f3fb,AC,AC62,Mote Looe Key [In Situ],,AC-62,R383,-20,0
aded873c-d6d2-488e-8be0-d35694b1968a,AC,AC75,Mote Looe Key [In Situ],,AC-75,R381,-20,0
2295e7c6-f242-4e33-9b99-bd24dffcba31,AC,AC80,Mote Looe Key [In Situ],,AC-80,R351,-20,0
686dc0c4-e818-4edb-9206-69f1378b257f,AC,AC31,Mote Looe Key [In Situ],,AC-31,R271,-20,0
e912e407-dd51-4dab-8281-2813baee5039,AC,AC1287,Mote Looe Key [In Situ],,AC-1287,R484,-20,0
6b9e8581-df24-41e3-9cf1-4f783c4387c5,AC,AC3,Mote Looe Key [In Situ],,AC-3,R308,-20,0
b30cdb7c-0b37-4350-b6b0-8310ee707afa,AC,AC34,Mote Looe Key [In Situ],,AC-34,R333,-20,0
cc8df614-2ec6-48ef-b7e0-ff028164a89a,AC,AC75,Mote Looe Key [In Situ],,AC-75,R381,-20,0
6bb526d7-c68c-4624-9f3f-f20b53e17aaf,AC,AC58,Mote Looe Key [In Situ],,AC-58,R385,-20,0
8662af56-a701-40f0-ad02-271ed27de3b5,AC,AC62,Mote Looe Key [In Situ],,AC-62,R383,-20,0
7cedb6f9-4354-4df4-ada6-83e5eb160d85,AC,AC1962,Mote Looe Key [In Situ],,AC-1962,R483,-20,0
2507c70e-8498-42ca-a878-f84c51b7b973,AC,AC0,Mote Key Largo [In Situ],,Blue34,R30,70,
e0af5938-9c5a-42a4-bc76-52883414eb6c,DL,DL15,Mote Looe Key [In Situ],,DL-15,R6,39,
4f85ca56-4a12-4057-bef7-069fb5475e24,DL,DL270,Mote Looe Key [In Situ],,DL-256/270,R312,39,
