id,date,cluster_id,genotype_name,species,site,rack,qty,reason,comment
6ef0eca9-5fa2-41cf-8c50-0ddeae3da80e,8/16/24 11:45,dac09688-3d50-4ac4-8927-e07172396f43,UK,UK,Mote Summerland,R1217,0,Move Out,
c0562178-d6ff-4355-b6cc-7575512c561d,8/16/24 11:45,bf95fb59-5d34-4ae1-be3a-4ebe5d7e6baf,AP26,AP,Mote Summerland,R1134,0,Move Out,
d177875a-de4c-4f66-84eb-f948d475b7af,8/16/24 11:45,05b645bc-3492-477e-b69e-0c99b43d2f1f,PS30,PS,Mote Summerland,R323,-2,Move Out,
dfc4a36d-885b-40f7-8470-0734d6219bf9,8/16/24 11:44,d4894b17-63a0-4617-8d99-d73cd951a9cf,OF3,OF,Mote Summerland,R620,-12,Move Out,
18e01567-2c39-4e10-8956-bebcedb90905,8/16/24 11:33,4d5dae16-47d7-4b37-952e-e0bbf504033f,OF1013,OF,Mote Islamorada,ISLA167,0,Move Out,
e3593dae-a459-47bf-a4fb-a4c4f771577c,8/16/24 11:32,4d5dae16-47d7-4b37-952e-e0bbf504033f,OF1013,OF,Mote Islamorada,ISLA167,-6,fragging,fragging
8dd96725-19c7-4676-b826-42aace836155,8/16/24 11:03,0d894769-2b2f-4b44-8967-494ea9dc6404,OF1013,OF,Mote Islamorada,R250,33,fragging,fragging
01440b88-5fd4-4ec0-ae01-6306686f2828,8/16/24 11:02,0d894769-2b2f-4b44-8967-494ea9dc6404,OF1013,OF,Mote Islamorada,R250,0,Move In,
dd6a5011-4d32-4d7d-8502-29070c653e40,8/16/24 7:54,88a3e08d-0148-4b15-85f4-2cb73f710eb8,AP14,AP,Mote Key Largo,R308,42,fragging,fragging
bbcebe53-622e-4656-a62c-8bfdf3a50415,8/16/24 7:54,88a3e08d-0148-4b15-85f4-2cb73f710eb8,AP14,AP,Mote Key Largo,R308,0,Move In,
556a3094-4b4f-466f-8d07-7734be956f26,8/16/24 7:54,b2df651c-b97f-4bc7-b283-3670c9bc50b1,AP14,AP,Mote Key Largo,R262,60,fragging,fragging
