Name,Location,Date,Latitude,Longitude,Deliverable,Genotype,Survived,Outplanted,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS647,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS648,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS649,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS650,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS651,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS652,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS653,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS417,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR213,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS461,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS472,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS482,6,6,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS330,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS334,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS335,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS500,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS705,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS706,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS707,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS708,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS709,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS710,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS711,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS712,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS345,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS304,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS201,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS202,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS205,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS206,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS223,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS171,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS400,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS172,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SI214,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR85,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR84,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR77,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR34,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR41,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR35,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR39,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR33,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR61,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR154,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR157,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR158,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SR160,1,1,,,,,
Outplant 2025-02-21, / HH_M_2,2/20/25,,,,SS424,1,1,,,,,
