id,species,genotype,site,subsystem,tank,rack,qty,size
32733aa8-61e4-4837-82a1-ff82f2a2333d,OF,OF1098,Mote Key Largo,,G9,R355,9,0.75
7dfbf687-df7a-4399-8edd-ca701ef60268,DL,DL169,Mote Summerland,All Summerland,F8,R1017,9,0.75
ad37e77c-cf4d-4986-a8bc-22f149492ccf,ASTREOIDES,PA47,Mote Summerland,All Summerland,E4,R1985,9,0.25
503fea94-ad18-4202-b73c-cee2ed30397b,PS,PS4,Mote Summerland,All Summerland,F3,R1416,9,1
ab1cf96b-86ba-4e27-9cc8-ad18d1b1b09a,OF,OF979,Mote Summerland,All Summerland,F6,R1176,9,0.75
289d7bd4-ed59-491a-8083-8ffcc7e3e53e,PS,PS6,Mote Summerland,All Summerland,C4,R1478,9,0.25
cbe269d4-5aba-4f04-bf52-d7a6745bf73d,INTERSEPTA,SI8,Mote Summerland,All Summerland,F7,R133,9,1
ba0dc441-2288-4c1a-9512-724d429311dd,OF,OF1102,Mote Summerland,All Summerland,D4,R1808,9,0.25
38fa6341-cc18-43d0-a58a-5f213b860cea,SH,SH121,Mote Key Largo,,G3,R38,9,0.5
b66de6fd-3670-4bcd-a586-4a420b5d9d4e,SH,SH126,Mote Key Largo,,G3,R3,9,0.5
abb3ac58-53fd-46e3-be7c-632f872891fb,SH,SH127,Mote Key Largo,,G3,R3,9,0.5
27ed649d-58be-4703-b6d9-a4652e1d3e4b,CN,CN19,Mote Summerland,All Summerland,F2,R16,9,1
08bba192-daca-4245-af1a-bc7300f98205,RADIANS,SR618,Mote Islamorada,,G16,R139,9,0.75
d6fbeeb7-bb2a-413f-92fd-0cc3895f7d39,ASTREOIDES,PA319,Mote Summerland,All Summerland,G3,R1599,9,0.25
c65b04a8-1fec-4cd1-a91a-f877d1e0fc6f,ASTREOIDES,PA92,Mote Summerland,All Summerland,G3,R871,9,1.5
2a10448f-7963-45a1-a484-5407689ed162,PS,PS9,Mote Summerland,All Summerland,Q10,R1129,9,1
e6eb9ddb-4dd5-46e6-b78b-71bc616a5077,SH,SH114,Mote Islamorada,,G4,R129,9,0
a80cdfec-3617-44cb-884d-e19b27348103,AP,AP378,Mote Key Largo,,G13,R404,9,0.25
1156298c-d3e6-4ac8-8ece-31cc2a9fc9a6,DIVARICATA,PD15,Mote Islamorada,,G9,R164,9,0.25
39f7bfa1-d1cc-47fd-b0e3-7247f8b6ed36,CN,CN84,Mote Islamorada,,G2,R151,9,0.75
61cfbd73-9029-403e-9e07-ab3b9d9131ab,CN,CN73,Mote Summerland,All Summerland,F4,R738,9,0.75
87f03052-cc5b-44eb-bbf6-31a0bdeef444,CN,CN19,Mote Summerland,All Summerland,F4,R444,9,1
a845cefc-971f-4868-8b22-ff5c7144e893,PS,PS10,Mote Summerland,All Summerland,E5,R701,9,0.25
87f9e7f6-1828-4b77-8dd9-bc8089730ed3,CN,CN18,Mote Summerland,All Summerland,F7,R1920,9,1
7baeca0b-caba-4ec1-8f62-ca8c74d990da,SB,SB58,Mote Islamorada,,G15,R85,9,0.5
6bc36afa-de02-43b2-b0ae-211c9909ee02,AP,AP44,Mote Islamorada,,G2,R298,9,0.5
f51c3366-0570-4a0f-ad02-63d059d016ac,RADIANS,SR500,Mote Islamorada,,G15,R27,9,0
797bebc4-f36c-4985-bd40-02d19bf4d52b,PS,PS17,Mote Summerland,All Summerland,C4,R1478,9,0.25
66abb6fe-b9a3-43a2-a404-8180ccbe4648,PC,PC31,Mote Key Largo,,G6,R422,9,0.75
986525a1-f3d4-494d-80d7-2db7bb17c909,AP,AP597,Mote Islamorada,,G5,R149,9,1.5
34e6b6e7-2640-44a5-8281-a9de1a9e1ae5,OF,OF976,Mote Summerland,All Summerland,Q6,R1081,9,0.75
75478719-1dca-4f0a-b41b-b246e7d2cdbc,INTERSEPTA,SI254,Mote Islamorada,,G16,R291,9,0
8ac68f0e-0260-490f-8d83-818f7e5fb50c,RADIANS,SR601,Mote Islamorada,,G16,R139,9,0.75
4cf46bbb-7a72-44f9-a11a-5ecbd8673c8b,SB,SB49,Mote Islamorada,,G16,R266,9,1
ad5d8867-e368-41b6-99f7-5a0a93c6b41c,MC,MC115,Mote Islamorada,,G10,R284,9,0
84750588-0b83-4e76-b386-d94197eccc00,SB,SB48,Mote Islamorada,,G16,R266,9,0.75
